79.490853,16.691405,109.248
79.490989,16.691433,108.769
79.491137,16.691461,108.241
79.491238,16.691468,107.896
79.491361,16.691434,107.554
79.49151,16.691438,107.059
79.491608,16.691473,106.656
79.491697,16.691472,106.412
79.491786,16.691466,106.266
79.491937,16.691459,106.01
79.491791,16.691363,106.469
79.49157,16.691352,107.059
79.491389,16.691371,107.589
79.491197,16.69135,108.234
79.491012,16.691337,108.835
79.490846,16.69132,109.376
79.490856,16.691268,109.409
79.490971,16.691247,109.087
79.491399,16.691259,107.781
79.490859,16.691098,109.61
79.490948,16.69109,109.371
79.491062,16.691116,109.017
79.491125,16.691268,108.593
79.491238,16.691147,108.466
79.491411,16.691125,108.019
79.491591,16.69119,107.364
79.491772,16.691208,106.833
79.491651,16.691283,106.965
79.491758,16.69108,107.14
79.49163,16.691034,107.615
79.490874,16.690959,109.744
79.491123,16.690958,109.1
79.49134,16.690963,108.532
79.491371,16.690761,108.678
79.491597,16.690444,108.128
79.491622,16.690403,108.079
79.49164,16.690354,108.045
79.491666,16.690298,108.001
79.49094,16.690644,109.544
79.491139,16.690559,109.057
79.491178,16.69056,108.98
79.491208,16.690559,108.918
79.491247,16.690559,108.841
79.491324,16.690559,108.687
79.491652,16.690664,108.03
79.491867,16.690655,107.173
79.492122,16.690636,106.102
79.492099,16.690229,105.689
79.492053,16.689889,105.458
79.491503,16.690012,108.198
79.491609,16.689863,107.435
79.492011,16.690161,106.089
79.492225,16.690078,104.771
79.49232,16.690432,104.891
79.49267,16.690069,103.167
79.492393,16.690002,103.648
79.492302,16.689786,104.138
79.492053,16.689702,105.08
79.491728,16.689719,106.407
79.491792,16.689906,106.882
79.491688,16.690167,107.877
79.491958,16.690332,106.526
79.491954,16.691111,106.527
79.492173,16.690953,106.064
79.492329,16.690655,105.273
79.49248,16.690481,104.246
79.492536,16.690367,103.882
79.492615,16.690197,103.475
79.492463,16.690196,103.669
79.492395,16.690211,104.073
79.492304,16.69021,104.56
79.492281,16.690226,104.714
79.492034,16.690517,106.34
79.492238,16.690381,105.199
79.492194,16.690538,105.65
79.492105,16.690883,106.364
79.491821,16.690965,107.186
79.491905,16.690828,107.137
79.491948,16.690907,106.868
79.492098,16.691048,106.195
79.492026,16.691265,106.115
79.492286,16.691093,105.609
79.492425,16.690881,105.258
79.492507,16.690663,104.592
79.492604,16.690416,103.999
79.491574,16.690814,108.218
79.491568,16.690787,108.229
79.491548,16.690735,108.266
79.491529,16.690684,108.3
79.491508,16.690649,108.338
79.491502,16.690615,108.342
79.491496,16.69059,108.348
79.491455,16.690521,108.411
79.491462,16.690414,108.366
79.491234,16.690412,108.775
79.491009,16.690462,109.227
79.490949,16.690343,109.215
79.491047,16.690166,108.892
79.49113,16.690078,108.705
79.491459,16.690115,108.283
79.491199,16.69026,108.735
79.491384,16.689893,107.915
79.491312,16.690067,108.46
79.491244,16.689966,108.387
79.491362,16.690338,108.514
79.491116,16.690774,109.274
79.491734,16.690432,107.679
79.491798,16.69022,107.293
79.491706,16.690657,107.836
79.491908,16.689973,106.469
79.49196,16.689647,105.291
79.491534,16.689762,107.108
79.490984,16.690862,109.596
79.49153,16.690899,108.18
79.491553,16.6909,108.12
79.491584,16.690902,108.04
79.491669,16.690905,107.817
79.491746,16.690909,107.547
79.491831,16.690913,107.253
79.491871,16.690897,107.149
79.491856,16.690879,107.232
79.491788,16.690841,107.543
79.491714,16.690794,107.823
79.491677,16.690766,107.959
79.492034,16.690709,106.544
79.49235,16.690772,105.418
79.492177,16.690822,106.145
79.49187,16.690428,107.026
79.491711,16.690038,107.737
79.492047,16.690033,105.752
79.491906,16.689855,106.117
79.491845,16.689744,106.033
79.49183,16.68959,105.535
79.492031,16.689519,104.767
79.49218,16.689658,104.541
79.492217,16.689893,104.609
